Type,Indicator,Context,Source,
Domain,nokitrav[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,nonima[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,onihik[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,pertolka[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,ruchkalo[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,shitemo[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,sorawo[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,telefar[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,urovista[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,vadilops[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,zvustro[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,lenatara[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,ouichi[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,cryptonas[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,konoatari[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,moonilar[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,reapart[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,nomukou[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,mirotas[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,ismetroh[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,vositra[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,fartopart[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,atasareru[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,uzumoreru[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,sumikko[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,vivaldar[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
